Site,Phase,Taxon,Family,Genus,domestic_wild,Proportion_per_Phase,Ubquity
'Afula,AF_EB,indeterminata,-,-,W,80,0
'Afula,AF_EB,"Triticum species free threshing wheat tetraploid grains",Poaceae,Triticum,D,20,0
'Afula,AF_IA,"Cephalaria syriaca (L.) Schrader",Dipsacaceae,Cephalaria,W,0,0
'Afula,AF_IA,"Cicer arietinum L.",Fabaceae,Cicer,D,0,0
'Afula,AF_IA,"Galium tricornutum Dandy",Rubiaceae,Galium,W,0,0
'Afula,AF_IA,"Olea europaea L.",Oleaceae,Olea,D,0,0
'Afula,AF_IA,"Vicia ervilia (L.) Willd.",Fabaceae,Vicia,D,0,0
'Afula,AF_IA,"Vicia faba L.",Fabaceae,Vicia,D,0,0
'Afula,AF_MB,"Avena sp.",Poaceae,Avena,W,3,50
'Afula,AF_MB,"Cicer pinnatifidum",Fabaceae,Cicer,W,6,50
'Afula,AF_MB,"Poaceae indet.",Poaceae,-,W,8,50
'Afula,AF_MB,"Hordeum sp. rachis internodes",Poaceae,Hordeum,W,3,50
'Afula,AF_MB,"Hordeum distichum/vulgare grain (hulled)",Poaceae,Hordeum,D,11,50
'Afula,AF_MB,"Hordeum sp. (wild)",Poaceae,Hordeum,W,6,50
'Afula,AF_MB,indeterminata,-,-,W,8,50
'Afula,AF_MB,"Papilionaceae indet.",Fabaceae,-,W,6,50
'Afula,AF_MB,"Phalaris sp.",Poaceae,Phalaris,W,3,50
'Afula,AF_MB,"Triticum dicoccum grains",Poaceae,Triticum,D,3,50
'Afula,AF_MB,"Triticum dicoccum spikelet forks",Poaceae,Triticum,D,28,50
'Afula,AF_MB,"Triticum species free threshing wheat tetraploid grains",Poaceae,Triticum,D,3,50
'Afula,AF_MB,"Vicia ervilia (L.) Willd.",Fabaceae,Vicia,D,14,100
"'Ain Dara",ADA,"Arnebia Forssk. sp.",Boraginaceae,Arnebia,W,1,9
"'Ain Dara",ADA,"Asphodelus sp.",Xanthorrhoeaceae,Asphodelus,W,0,3
"'Ain Dara",ADA,"Astragalus sp.",Fabaceae,Astragalus,W,0,6
"'Ain Dara",ADA,"Caryophyllaceae indet.",Caryophyllaceae,-,W,0,9
"'Ain Dara",ADA,"Cereal indeterminate grains",Poaceae,-,D,6,29
"'Ain Dara",ADA,"Cereal indeterminate rachis",Poaceae,-,D,0,9
"'Ain Dara",ADA,"Chenopodiaceae indet.",Chenopodiaceae,-,W,1,17
"'Ain Dara",ADA,"Asteraceae indet.",Asteraceae,-,W,1,11
"'Ain Dara",ADA,"Coronilla sp.",Fabaceae,Coronilla,W,1,23
"'Ain Dara",ADA,"Cyperaceae indet.",Cyperaceae,-,W,0,11
"'Ain Dara",ADA,"Ficus sp.",Moraceae,Ficus,W,1,26
"'Ain Dara",ADA,"Fimbristylis sp.",Cyperaceae,Fimbrystilis,W,1,9
"'Ain Dara",ADA,"Galium sp.",Rubiaceae,Galium,W,1,26
"'Ain Dara",ADA,"Hordeum vulgare vulgare grain (hulled)",Poaceae,Hordeum,D,12,66
"'Ain Dara",ADA,indeterminata,-,-,W,4,51
"'Ain Dara",ADA,"Fabaceae indet.",Fabaceae,-,W,2,11
"'Ain Dara",ADA,"Lens culinaris Medik.",Fabaceae,Lens,D,3,11
"'Ain Dara",ADA,"Lithospermum L. sp.",Boraginaceae,Lithospermum,W,4,63
